name,text,type,manaCost,convertedManaCost
Echo of Eons,"Each player shuffles their hand and graveyard into their library, then draws seven cards.
Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,{4}{U}{U},6
Echoes of the Kin Tree,{2}{W}: Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.),Enchantment,{1}{W},2
Echoing Boon,"Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.)
Whenever you cast an instant or sorcery spell, if it targets a creature you control with the chosen name, you may copy that spell and may choose new targets for the copy.",Conspiracy,,0
Echoing Calm,Destroy target enchantment and all other enchantments with the same name as that enchantment.,Instant,{1}{W},2
Echoing Courage,Target creature and all other creatures with the same name as that creature get +2/+2 until end of turn.,Instant,{1}{G},2
Echoing Decay,Target creature and all other creatures with the same name as that creature get -2/-2 until end of turn.,Instant,{1}{B},2
Echoing Ruin,Destroy target artifact and all other artifacts with the same name as that artifact.,Sorcery,{1}{R},2
Echoing Truth,Return target nonland permanent and all other permanents with the same name as that permanent to their owners' hands.,Instant,{1}{U},2
Eddytrail Hawk,"Flying
When Eddytrail Hawk enters the battlefield, you get {E}{E} (two energy counters).
Whenever Eddytrail Hawk attacks, you may pay {E}. If you do, another target attacking creature gains flying until end of turn.",Creature — Bird,{1}{W},2
Edgar Markov,"Eminence — Whenever you cast another Vampire spell, if Edgar Markov is in the command zone or on the battlefield, create a 1/1 black Vampire creature token.
First strike, haste
Whenever Edgar Markov attacks, put a +1/+1 counter on each Vampire you control.",Legendary Creature — Vampire Knight,{3}{R}{W}{B},6
Edge of Autumn,"If you control four or fewer lands, search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.
Cycling—Sacrifice a land. (Sacrifice a land, Discard this card: Draw a card.)",Sorcery,{1}{G},2
Edge of Malacol,"If a creature you control would untap during your untap step, put two +1/+1 counters on it instead.
Whenever you roll {CHAOS}, untap each creature you control.",Plane — Belenon,,0
Edge of the Divinity,"Enchant creature
As long as enchanted creature is white, it gets +1/+2.
As long as enchanted creature is black, it gets +2/+1.",Enchantment — Aura,{W/B},1
Edgewalker,"Cleric spells you cast cost {W}{B} less to cast. This effect reduces only the amount of colored mana you pay. (For example, if you cast a Cleric spell with mana cost {1}{W}, it costs {1} to cast.)",Creature — Human Cleric,{1}{W}{B},3
Edgewall Innkeeper,"Whenever you cast a creature spell that has an Adventure, draw a card. (It doesn't need to have gone on the adventure first.)",Creature — Human Peasant,{G},1
Edifice of Authority,"{1}, {T}: Target creature can't attack this turn. Put a brick counter on Edifice of Authority.
{1}, {T}: Until your next turn, target creature can't attack or block and its activated abilities can't be activated. Activate this ability only if there are three or more brick counters on Edifice of Authority.",Artifact,{3},3
"Edric, Spymaster of Trest","Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.",Legendary Creature — Elf Rogue,{1}{G}{U},3
Eel Umbra,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature gets +1/+1.
Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",Enchantment — Aura,{1}{U},2
Eerie Interlude,Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.,Instant,{2}{W},3
Eerie Procession,"Search your library for an Arcane card, reveal that card, and put it into your hand. Then shuffle your library.",Sorcery — Arcane,{2}{U},3
Efficient Construction,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.",Enchantment,{3}{U},4
Efreet Weaponmaster,"First strike
When Efreet Weaponmaster enters the battlefield or is turned face up, another target creature you control gets +3/+0 until end of turn.
Morph {2}{U}{R}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",Creature — Efreet Monk,{3}{U}{R}{W},6
Ego Erasure,"Changeling (This card is every creature type.)
Creatures target player controls get -2/-0 and lose all creature types until end of turn.",Tribal Instant — Shapeshifter,{2}{U},3
Eidolon of Blossoms,"Constellation — Whenever Eidolon of Blossoms or another enchantment enters the battlefield under your control, draw a card.",Enchantment Creature — Spirit,{2}{G}{G},4
Eidolon of Countless Battles,"Bestow {2}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Eidolon of Countless Battles and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control.",Enchantment Creature — Spirit,{1}{W}{W},3
Eidolon of Rhetoric,Each player can't cast more than one spell each turn.,Enchantment Creature — Spirit,{2}{W},3
Eidolon of the Great Revel,"Whenever a player casts a spell with converted mana cost 3 or less, Eidolon of the Great Revel deals 2 damage to that player.",Enchantment Creature — Spirit,{R}{R},2
Eiganjo Castle,"{T}: Add {W}.
{W}, {T}: Prevent the next 2 damage that would be dealt to target legendary creature this turn.",Legendary Land,,0
Eiganjo Free-Riders,"Flying
At the beginning of your upkeep, return a white creature you control to its owner's hand.",Creature — Human Soldier,{3}{W},4
Eight-and-a-Half-Tails,"{1}{W}: Target permanent you control gains protection from white until end of turn.
{1}: Target spell or permanent becomes white until end of turn.",Legendary Creature — Fox Cleric,{W}{W},2
Eight-and-a-Half-Tails Avatar,"{1}: Until end of turn, target permanent you control gains protection from a color chosen at random from colors it doesn't have protection from.",Vanguard,,0
Eightfold Maze,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Destroy target attacking creature.",Instant,{2}{W},3
Ekundu Cyclops,"If a creature you control attacks, Ekundu Cyclops also attacks if able.",Creature — Cyclops,{3}{R},4
Ekundu Griffin,"Flying, first strike",Creature — Griffin,{3}{W},4
El-Hajjâj,"Whenever El-Hajjâj deals damage, you gain that much life.",Creature — Human Wizard,{1}{B}{B},3
Elaborate Firecannon,"Elaborate Firecannon doesn't untap during your untap step.
{4}, {T}: Elaborate Firecannon deals 2 damage to any target.
At the beginning of your upkeep, you may discard a card. If you do, untap Elaborate Firecannon.",Artifact,{2},2
Eladamri,{0}: The next 1 damage that would be dealt to target creature you control is dealt to you instead.,Vanguard,,0
Eladamri's Call,"Search your library for a creature card, reveal that card, put it into your hand, then shuffle your library.",Instant,{G}{W},2
Eladamri's Vineyard,"At the beginning of each player's precombat main phase, that player adds {G}{G}.",Enchantment,{G},1
"Eladamri, Lord of Leaves","Other Elf creatures have forestwalk. (They can't be blocked as long as defending player controls a Forest.)
Other Elves have shroud. (They can't be the targets of spells or abilities.)",Legendary Creature — Elf Warrior,{G}{G},2
"Eladamri, Lord of Leaves Avatar","At the beginning of each player's precombat main phase, that player adds {G}{G}.",Vanguard,,0
Eland Umbra,"Enchant creature
Enchanted creature gets +0/+4.
Totem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",Enchantment — Aura,{1}{W},2
"Elbrus, the Binding Blade","Equipped creature gets +1/+0.
When equipped creature deals combat damage to a player, unattach Elbrus, the Binding Blade, then transform it.
Equip {1}",Legendary Artifact — Equipment,{7},7
Elder Cathar,"When Elder Cathar dies, put a +1/+1 counter on target creature you control. If that creature is a Human, put two +1/+1 counters on it instead.",Creature — Human Soldier,{2}{W},3
Elder Deep-Fiend,"Flash
Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)
When you cast this spell, tap up to four target permanents.",Creature — Eldrazi Octopus,{8},8
Elder Druid,"{3}{G}, {T}: You may tap or untap target artifact, creature, or land.",Creature — Elf Cleric Druid,{3}{G},4
Elder Land Wurm,"Defender, trample
When Elder Land Wurm blocks, it loses defender.",Creature — Dragon Wurm,{4}{W}{W}{W},7
Elder Mastery,"Enchant creature
Enchanted creature gets +3/+3 and has flying.
Whenever enchanted creature deals damage to a player, that player discards two cards.",Enchantment — Aura,{3}{U}{B}{R},6
Elder Pine of Jukai,"Whenever you cast a Spirit or Arcane spell, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest on the bottom of your library in any order.
Soulshift 2 (When this creature dies, you may return target Spirit card with converted mana cost 2 or less from your graveyard to your hand.)",Creature — Spirit,{2}{G},3
Elder Spawn,"At the beginning of your upkeep, unless you sacrifice an Island, sacrifice Elder Spawn and it deals 6 damage to you.
Elder Spawn can't be blocked by red creatures.",Creature — Spawn,{4}{U}{U}{U},7
Elder of Laurels,"{3}{G}: Target creature gets +X/+X until end of turn, where X is the number of creatures you control.",Creature — Human Advisor,{2}{G},3
Elderscale Wurm,"Trample
When Elderscale Wurm enters the battlefield, if your life total is less than 7, your life total becomes 7.
As long as you have 7 or more life, damage that would reduce your life total to less than 7 reduces it to 7 instead.",Creature — Wurm,{4}{G}{G}{G},7
Elderwood Scion,"Trample, lifelink
Spells you cast that target Elderwood Scion cost {2} less to cast.
Spells your opponents cast that target Elderwood Scion cost {2} more to cast.",Creature — Elemental,{3}{G}{W},5
Eldrazi Aggressor,"Devoid (This card has no color.)
Eldrazi Aggressor has haste as long as you control another colorless creature.",Creature — Eldrazi Drone,{2}{R},3
Eldrazi Conscription,"Enchant creature
Enchanted creature gets +10/+10 and has trample and annihilator 2. (Whenever it attacks, defending player sacrifices two permanents.)",Tribal Enchantment — Eldrazi Aura,{8},8
Eldrazi Devastator,Trample,Creature — Eldrazi,{8},8
Eldrazi Displacer,"Devoid (This card has no color.)
{2}{C}: Exile another target creature, then return it to the battlefield tapped under its owner's control. ({C} represents colorless mana.)",Creature — Eldrazi,{2}{W},3
Eldrazi Mimic,"Whenever another colorless creature enters the battlefield under your control, you may change Eldrazi Mimic's base power and toughness to that creature's power and toughness until end of turn.",Creature — Eldrazi,{2},2
Eldrazi Monument,"Creatures you control get +1/+1 and have flying and indestructible.
At the beginning of your upkeep, sacrifice a creature. If you can't, sacrifice Eldrazi Monument.",Artifact,{5},5
Eldrazi Obligator,"Devoid (This card has no color.)
When you cast this spell, you may pay {1}{C}. If you do, gain control of target creature until end of turn, untap that creature, and it gains haste until end of turn. ({C} represents colorless mana.)
Haste",Creature — Eldrazi,{2}{R},3
Eldrazi Skyspawner,"Devoid (This card has no color.)
Flying
When Eldrazi Skyspawner enters the battlefield, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}.""",Creature — Eldrazi Drone,{2}{U},3
Eldrazi Temple,"{T}: Add {C}.
{T}: Add {C}{C}. Spend this mana only to cast colorless Eldrazi spells or activate abilities of colorless Eldrazi.",Land,,0
Eldritch Evolution,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card with converted mana cost X or less, where X is 2 plus the sacrificed creature's converted mana cost. Put that card onto the battlefield, then shuffle your library. Exile Eldritch Evolution.",Sorcery,{1}{G}{G},3
Electric Eel,"When Electric Eel enters the battlefield, it deals 1 damage to you.
{R}{R}: Electric Eel gets +2/+0 until end of turn and deals 1 damage to you.",Creature — Fish,{U},1
Electrickery,"Electrickery deals 1 damage to target creature you don't control.
Overload {1}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")",Instant,{R},1
Electrify,Electrify deals 4 damage to target creature.,Instant,{3}{R},4
Electrodominance,Electrodominance deals X damage to any target. You may cast a card with converted mana cost X or less from your hand without paying its mana cost.,Instant,{X}{R}{R},2
Electrolyze,"Electrolyze deals 2 damage divided as you choose among one or two targets.
Draw a card.",Instant,{1}{U}{R},3
Electropotence,"Whenever a creature enters the battlefield under your control, you may pay {2}{R}. If you do, that creature deals damage equal to its power to any target.",Enchantment,{2}{R},3
Electrostatic Bolt,"Electrostatic Bolt deals 2 damage to target creature. If it's an artifact creature, Electrostatic Bolt deals 4 damage to it instead.",Instant,{R},1
Electrostatic Field,"Defender
Whenever you cast an instant or sorcery spell, Electrostatic Field deals 1 damage to each opponent.",Creature — Wall,{1}{R},2
Electrostatic Pummeler,"When Electrostatic Pummeler enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay {E}{E}{E}: Electrostatic Pummeler gets +X/+X until end of turn, where X is its power.",Artifact Creature — Construct,{3},3
Electryte,"Whenever Electryte deals combat damage to defending player, it deals damage equal to its power to each blocking creature.",Creature — Trilobite Beast,{3}{R}{R},5
Elegant Edgecrafters,"Elegant Edgecrafters can't be blocked by creatures with power 2 or less.
Fabricate 2 (When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)",Creature — Elf Artificer,{4}{G}{G},6
Elemental Appeal,"Kicker {5} (You may pay an additional {5} as you cast this spell.)
Create a 7/1 red Elemental creature token with trample and haste. Exile it at the beginning of the next end step. If this spell was kicked, that creature gets +7/+0 until end of turn.",Sorcery,{R}{R}{R}{R},4
Elemental Augury,"{3}: Look at the top three cards of target player's library, then put them back in any order.",Enchantment,{U}{B}{R},3
Elemental Bond,"Whenever a creature with power 3 or greater enters the battlefield under your control, draw a card.",Enchantment,{2}{G},3
Elemental Mastery,"Enchant creature
Enchanted creature has ""{T}: Create X 1/1 red Elemental creature tokens with haste, where X is this creature's power. Exile them at the beginning of the next end step.""",Enchantment — Aura,{3}{R},4
Elemental Resonance,"Enchant permanent
At the beginning of your precombat main phase, add mana equal to enchanted permanent's mana cost. (Mana cost includes color. If a mana symbol has multiple colors, choose one.)",Enchantment — Aura,{2}{G}{G},4
Elemental Uprising,Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land. It must be blocked this turn if able.,Instant,{1}{G},2
"Elenda, the Dusk Rose","Lifelink
Whenever another creature dies, put a +1/+1 counter on Elenda, the Dusk Rose.
When Elenda dies, create X 1/1 white Vampire creature tokens with lifelink, where X is Elenda's power.",Legendary Creature — Vampire Knight,{2}{W}{B},4
Elephant Ambush,"Create a 3/3 green Elephant creature token.
Flashback {6}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Instant,{2}{G}{G},4
Elephant Grass,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Black creatures can't attack you.
Nonblack creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.",Enchantment,{G},1
Elephant Graveyard,"{T}: Add {C}.
{T}: Regenerate target Elephant.",Land,,0
Elephant Guide,"Enchant creature
Enchanted creature gets +3/+3.
When enchanted creature dies, create a 3/3 green Elephant creature token.",Enchantment — Aura,{2}{G},3
Elephant Resurgence,"Each player creates a green Elephant creature token. Those creatures have ""This creature's power and toughness are each equal to the number of creature cards in its controller's graveyard.""",Sorcery,{1}{G},2
"Elesh Norn, Grand Cenobite","Vigilance
Other creatures you control get +2/+2.
Creatures your opponents control get -2/-2.",Legendary Creature — Praetor,{5}{W}{W},7
Elf Replica,"{1}{G}, Sacrifice Elf Replica: Destroy target enchantment.",Artifact Creature — Elf,{3},3
Elfhame Druid,"{T}: Add {G}.
{T}: Add {G}{G}. Spend this mana only to cast kicked spells.",Creature — Elf Druid,{1}{G},2
Elfhame Palace,"Elfhame Palace enters the battlefield tapped.
{T}: Add {G} or {W}.",Land,,0
Elfhame Sanctuary,"At the beginning of your upkeep, you may search your library for a basic land card, reveal that card, and put it into your hand. If you do, you skip your draw step this turn and shuffle your library.",Enchantment,{1}{G},2
Elgaud Inquisitor,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When Elgaud Inquisitor dies, create a 1/1 white Spirit creature token with flying.",Creature — Human Cleric,{3}{W},4
Elgaud Shieldmate,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)
As long as Elgaud Shieldmate is paired with another creature, both creatures have hexproof. (They can't be the targets of spells or abilities your opponents control.)",Creature — Human Soldier,{3}{U},4
Eliminate the Competition,"As an additional cost to cast this spell, sacrifice X creatures.
Destroy X target creatures.",Sorcery,{4}{B},5
Elite Arcanist,"When Elite Arcanist enters the battlefield, you may exile an instant card from your hand.
{X}, {T}: Copy the exiled card. You may cast the copy without paying its mana cost. X is the converted mana cost of the exiled card.",Creature — Human Wizard,{3}{U},4
Elite Archers,{T}: Elite Archers deals 3 damage to target attacking or blocking creature.,Creature — Human Soldier Archer,{5}{W},6
Elite Arrester,"{1}{U}, {T}: Tap target creature.",Creature — Human Soldier,{W},1
Elite Cat Warrior,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),Creature — Cat Warrior,{2}{G},3
Elite Guardmage,"Flying
When Elite Guardmage enters the battlefield, you gain 3 life and draw a card.",Creature — Human Wizard,{2}{W}{U},4
Elite Headhunter,"Menace (This creature can't be blocked except by two or more creatures.)
{B/R}{B/R}{B/R}, Sacrifice another creature or an artifact: Elite Headhunter deals 2 damage to target creature or planeswalker.",Creature — Human Knight,{B/R}{B/R}{B/R}{B/R},4
Elite Inquisitor,"First strike, vigilance
Protection from Vampires, from Werewolves, and from Zombies",Creature — Human Soldier,{W}{W},2
Elite Javelineer,"Whenever Elite Javelineer blocks, it deals 1 damage to target attacking creature.",Creature — Human Soldier,{2}{W},3
Elite Scaleguard,"When Elite Scaleguard enters the battlefield, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)
Whenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls.",Creature — Human Soldier,{4}{W},5
Elite Skirmisher,"Heroic — Whenever you cast a spell that targets Elite Skirmisher, you may tap target creature.",Creature — Human Soldier,{2}{W},3
Elite Vanguard,,Creature — Human Soldier,{W},1
Elixir of Immortality,"{2}, {T}: You gain 5 life. Shuffle Elixir of Immortality and your graveyard into their owner's library.",Artifact,{1},1
Elixir of Vitality,"Elixir of Vitality enters the battlefield tapped.
{T}, Sacrifice Elixir of Vitality: You gain 4 life.
{8}, {T}, Sacrifice Elixir of Vitality: You gain 8 life.",Artifact,{4},4
Elkin Bottle,"{3}, {T}: Exile the top card of your library. Until the beginning of your next upkeep, you may play that card.",Artifact,{3},3
Elkin Lair,"At the beginning of each player's upkeep, that player exiles a card at random from their hand. The player may play that card this turn. At the beginning of the next end step, if the player hasn't played the card, they put it into their graveyard.",World Enchantment,{3}{R},4
Eloren Wilds,"Whenever a player taps a permanent for mana, that player adds one mana of any type that permanent produced.
Whenever you roll {CHAOS}, target player can't cast spells until a player planeswalks.",Plane — Shandalar,,0
Elsewhere Flask,"When Elsewhere Flask enters the battlefield, draw a card.
Sacrifice Elsewhere Flask: Choose a basic land type. Each land you control becomes that type until end of turn.",Artifact,{2},2
Elsha of the Infinite,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
You may look at the top card of your library any time.
You may cast the top card of your library if it's a noncreature, nonland card, and you may cast it as though it had flash.",Legendary Creature — Djinn Monk,{2}{U}{R}{W},5
Elspeth Tirel,"[+2]: You gain 1 life for each creature you control.
[−2]: Create three 1/1 white Soldier creature tokens.
[−5]: Destroy all other permanents except for lands and tokens.",Legendary Planeswalker — Elspeth,{3}{W}{W},5
"Elspeth, Knight-Errant","[+1]: Create a 1/1 white Soldier creature token.
[+1]: Target creature gets +3/+3 and gains flying until end of turn.
[−8]: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""",Legendary Planeswalker — Elspeth,{2}{W}{W},4
"Elspeth, Sun's Champion","[+1]: Create three 1/1 white Soldier creature tokens.
[−3]: Destroy all creatures with power 4 or greater.
[−7]: You get an emblem with ""Creatures you control get +2/+2 and have flying.""",Legendary Planeswalker — Elspeth,{4}{W}{W},6
Elusive Krasis,"Elusive Krasis can't be blocked.
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",Creature — Fish Mutant,{1}{G}{U},3
Elusive Spellfist,"Whenever you cast a noncreature spell, Elusive Spellfist gets +1/+0 until end of turn and can't be blocked this turn.",Creature — Human Monk,{1}{U},2
Elusive Tormentor,"{1}, Discard a card: Transform Elusive Tormentor.",Creature — Vampire Wizard,{2}{B}{B},4
Elven Cache,Return target card from your graveyard to your hand.,Sorcery,{2}{G}{G},4
Elven Fortress,{1}{G}: Target blocking creature gets +0/+1 until end of turn.,Enchantment,{G},1
Elven Lyre,"{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.",Artifact,{2},2
Elven Palisade,Sacrifice a Forest: Target attacking creature gets -3/-0 until end of turn.,Enchantment,{G},1
Elven Riders,Elven Riders can't be blocked except by Walls and/or creatures with flying.,Creature — Elf,{3}{G}{G},5
Elven Rite,Distribute two +1/+1 counters among one or two target creatures.,Sorcery,{1}{G},2
Elven Warhounds,"Whenever Elven Warhounds becomes blocked by a creature, put that creature on top of its owner's library.",Creature — Hound,{3}{G},4
Elves of Deep Shadow,{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.,Creature — Elf Druid,{G},1
Elvish Aberration,"{T}: Add {G}{G}{G}.
Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, and put it into your hand, then shuffle your library.)",Creature — Elf Mutant,{5}{G},6
Elvish Archdruid,"Other Elf creatures you control get +1/+1.
{T}: Add {G} for each Elf you control.",Creature — Elf Druid,{1}{G}{G},3
Elvish Archers,First strike,Creature — Elf Archer,{1}{G},2
Elvish Bard,All creatures able to block Elvish Bard do so.,Creature — Elf Shaman,{3}{G}{G},5
Elvish Berserker,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.",Creature — Elf Berserker,{G},1
Elvish Branchbender,"{T}: Until end of turn, target Forest becomes an X/X Treefolk creature in addition to its other types, where X is the number of Elves you control.",Creature — Elf Druid,{2}{G},3
Elvish Champion,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.),Creature — Elf,{1}{G}{G},3
Elvish Champion Avatar,"You begin the game with a 1/1 green Elf creature token on the battlefield. It has ""{T}: Add {G}.""",Vanguard,,0
Elvish Clancaller,"Other Elves you control get +1/+1.
{4}{G}{G}, {T}: Search your library for a card named Elvish Clancaller, put it onto the battlefield, then shuffle your library.",Creature — Elf Druid,{G}{G},2
Elvish Eulogist,Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.,Creature — Elf Shaman,{G},1
Elvish Farmer,"At the beginning of your upkeep, put a spore counter on Elvish Farmer.
Remove three spore counters from Elvish Farmer: Create a 1/1 green Saproling creature token.
Sacrifice a Saproling: You gain 2 life.",Creature — Elf,{1}{G},2
Elvish Fury,"Buyback {4} (You may pay an additional {4} as you cast this spell. If you do, put this card into your hand as it resolves.)
Target creature gets +2/+2 until end of turn.",Instant,{G},1
Elvish Guidance,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional {G} for each Elf on the battlefield.",Enchantment — Aura,{2}{G},3
Elvish Handservant,"Whenever a player casts a Giant spell, you may put a +1/+1 counter on Elvish Handservant.",Creature — Elf Warrior,{G},1
Elvish Harbinger,"When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.
{T}: Add one mana of any color.",Creature — Elf Druid,{2}{G},3
Elvish Healer,"{T}: Prevent the next 1 damage that would be dealt to any target this turn. If it's a green creature, prevent the next 2 damage instead.",Creature — Elf Cleric,{2}{W},3
Elvish Herder,{G}: Target creature gains trample until end of turn.,Creature — Elf,{G},1
Elvish Hexhunter,"{G/W}, {T}, Sacrifice Elvish Hexhunter: Destroy target enchantment.",Creature — Elf Shaman,{G/W},1
Elvish House Party,"Elvish House Party's power and toughness are each equal to the current hour, using the twelve-hour system.",Creature — Elf Rogue,{4}{G}{G},6
Elvish Hunter,"{1}{G}, {T}: Target creature doesn't untap during its controller's next untap step.",Creature — Elf Archer,{1}{G},2
Elvish Impersonators,"As Elvish Impersonators enters the battlefield, roll a six-sided die twice. Its base power becomes the first result and its base toughness becomes the second result.",Creature — Elves,{3}{G},4
Elvish Lookout,Shroud (This creature can't be the target of spells or abilities.),Creature — Elf,{G},1
Elvish Lyrist,"{G}, {T}, Sacrifice Elvish Lyrist: Destroy target enchantment.",Creature — Elf,{G},1
Elvish Mystic,{T}: Add {G}.,Creature — Elf Druid,{G},1
Elvish Pathcutter,{2}{G}: Target Elf creature gains forestwalk until end of turn. (It can't be blocked as long as defending player controls a Forest.),Creature — Elf Scout,{3}{G},4
Elvish Pioneer,"When Elvish Pioneer enters the battlefield, you may put a basic land card from your hand onto the battlefield tapped.",Creature — Elf Druid,{G},1
Elvish Piper,"{G}, {T}: You may put a creature card from your hand onto the battlefield.",Creature — Elf Shaman,{3}{G},4
Elvish Promenade,Create a 1/1 green Elf Warrior creature token for each Elf you control.,Tribal Sorcery — Elf,{3}{G},4
Elvish Ranger,,Creature — Elf,{2}{G},3
Elvish Reclaimer,"Elvish Reclaimer gets +2/+2 as long as there are three or more land cards in your graveyard.
{2}, {T}, Sacrifice a land: Search your library for a land card, put it onto the battlefield tapped, then shuffle your library.",Creature — Elf Warrior,{G},1
Elvish Rejuvenator,"When Elvish Rejuvenator enters the battlefield, look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.",Creature — Elf Druid,{2}{G},3
Elvish Scout,"{G}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by it this turn.",Creature — Elf Scout,{G},1
Elvish Scrapper,"{G}, {T}, Sacrifice Elvish Scrapper: Destroy target artifact.",Creature — Elf,{G},1
Elvish Skysweeper,"{4}{G}, Sacrifice a creature: Destroy target creature with flying.",Creature — Elf Warrior,{G},1
Elvish Soultiller,"When Elvish Soultiller dies, choose a creature type. Shuffle all creature cards of that type from your graveyard into your library.",Creature — Elf Mutant,{3}{G}{G},5
Elvish Spirit Guide,Exile Elvish Spirit Guide from your hand: Add {G}.,Creature — Elf Spirit,{2}{G},3
Elvish Vanguard,"Whenever another Elf enters the battlefield, put a +1/+1 counter on Elvish Vanguard.",Creature — Elf Warrior,{1}{G},2
Elvish Visionary,"When Elvish Visionary enters the battlefield, draw a card.",Creature — Elf Shaman,{1}{G},2
Elvish Warrior,,Creature — Elf Warrior,{G}{G},2
Emancipation Angel,"Flying
When Emancipation Angel enters the battlefield, return a permanent you control to its owner's hand.",Creature — Angel,{1}{W}{W},3
Embalmed Brawler,"Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each Zombie card you reveal in your hand.)
Whenever Embalmed Brawler attacks or blocks, you lose 1 life for each +1/+1 counter on it.",Creature — Zombie,{2}{B},3
Embalmer's Tools,"Activated abilities of creature cards in your graveyard cost {1} less to activate.
Tap an untapped Zombie you control: Target player puts the top card of their library into their graveyard.",Artifact,{2},2
Embargo,"Nonland permanents don't untap during their controllers' untap steps.
At the beginning of your upkeep, you lose 2 life.",Enchantment,{3}{U},4
Ember Beast,Ember Beast can't attack or block alone.,Creature — Beast,{2}{R},3
Ember Gale,Creatures target player controls can't block this turn. Ember Gale deals 1 damage to each white and/or blue creature that player controls.,Sorcery,{3}{R},4
Ember Hauler,"{1}, Sacrifice Ember Hauler: It deals 2 damage to any target.",Creature — Goblin,{R}{R},2
Ember Shot,"Ember Shot deals 3 damage to any target.
Draw a card.",Instant,{6}{R},7
Ember Swallower,"{5}{R}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)
When Ember Swallower becomes monstrous, each player sacrifices three lands.",Creature — Elemental,{2}{R}{R},4
Ember Weaver,"Reach (This creature can block creatures with flying.)
As long as you control a red permanent, Ember Weaver gets +1/+0 and has first strike.",Creature — Spider,{2}{G},3
Ember-Eye Wolf,"Haste
{1}{R}: Ember-Eye Wolf gets +2/+0 until end of turn.",Creature — Wolf,{1}{R},2
Ember-Fist Zubera,"When Ember-Fist Zubera dies, it deals damage to any target equal to the number of Zubera that died this turn.",Creature — Zubera Spirit,{1}{R},2
Embercleave,"Flash
This spell costs {1} less to cast for each attacking creature you control.
When Embercleave enters the battlefield, attach it to target creature you control.
Equipped creature gets +1/+1 and has double strike and trample.
Equip {3}",Legendary Artifact — Equipment,{4}{R}{R},6
